PairName,diff
1545-Default-DOC.png 1545-Default-PDF.png,0.8793
1546-Default-DOC.png 1546-Default-PDF.png,0.8793
1550-Default-DOC.png 1550-Default-PDF.png,0.8793
1554-Monjasa-DOC.png 1554-Monjasa-PDF.png,0.8700
1555-Default-DOC.png 1555-Default-PDF.png,0.8700
1558-White Flag Ventures XL LLC-DOC.png 1558-White Flag Ventures XL LLC-PDF.png,0.8771
1559-White Flag Ventures XLI LLC-DOC.png 1559-White Flag Ventures XLI LLC-PDF.png,0.8771
1560-White Flag Ventures XLII LLC-DOC.png 1560-White Flag Ventures XLII LLC-PDF.png,0.8771
1561-White Flag Ventures XLIII LLC-DOC.png 1561-White Flag Ventures XLIII LLC-PDF.png,0.8771
1562-White Flag Ventures XLIV LLC-DOC.png 1562-White Flag Ventures XLIV LLC-PDF.png,0.8771
1563-White Flag Ventures XLV LLC-DOC.png 1563-White Flag Ventures XLV LLC-PDF.png,0.8765
1564-White Flag Ventures XLVI LLC-DOC.png 1564-White Flag Ventures XLVI LLC-PDF.png,0.8764
1565-White Flag Ventures XLVII LLC-DOC.png 1565-White Flag Ventures XLVII LLC-PDF.png,0.8761
1566-White Flag Ventures XXXIX LLC-DOC.png 1566-White Flag Ventures XXXIX LLC-PDF.png,0.8769
1567-White Flag Ventures XXXVI LLC-DOC.png 1567-White Flag Ventures XXXVI LLC-PDF.png,0.8769
1568-Sokana Shipping and Trading LTD-DOC.png 1568-Sokana Shipping and Trading LTD-PDF.png,0.8638
1584-Cape Sandra-DOC.png 1584-Cape Sandra-PDF.png,0.8489
1585-Cape Sarina-DOC.png 1585-Cape Sarina-PDF.png,0.8490
1586-Default-DOC.png 1586-Default-PDF.png,0.8793
1596-Front Altair-DOC.png 1596-Front Altair-PDF.png,0.8760
1597-Front Antares-DOC.png 1597-Front Antares-PDF.png,0.8762
1598-Front Aphrodite-DOC.png 1598-Front Aphrodite-PDF.png,0.8756
1599-Front Athena-DOC.png 1599-Front Athena-PDF.png,0.8766
16-Default-DOC.png 16-Default-PDF.png,0.8793
1600-Front Capella-DOC.png 1600-Front Capella-PDF.png,0.8763
1601-Front Cheetah-DOC.png 1601-Front Cheetah-PDF.png,0.8764
1602-Front Cougar-DOC.png 1602-Front Cougar-PDF.png,0.8762
1603-Front Hebe-DOC.png 1603-Front Hebe-PDF.png,0.8767
1604-Front Hera-DOC.png 1604-Front Hera-PDF.png,0.8767
1605-Front Polaris-DOC.png 1605-Front Polaris-PDF.png,0.8762
1606-Front Pollux-DOC.png 1606-Front Pollux-PDF.png,0.8763
1607-Front Sirius-DOC.png 1607-Front Sirius-PDF.png,0.8764
1608-Front Vega-DOC.png 1608-Front Vega-PDF.png,0.8767
1609-Front Vison-DOC.png 1609-Front Vison-PDF.png,0.8768
1610-Key Chartering-DOC.png 1610-Key Chartering-PDF.png,0.8755
1611-Sea Hull L0037 Corp-DOC.png 1611-Sea Hull L0037 Corp-PDF.png,0.8767
1612-Sea Hull L0044 Corp-DOC.png 1612-Sea Hull L0044 Corp-PDF.png,0.8767
1613-Sea Hull L0045 Corp-DOC.png 1613-Sea Hull L0045 Corp-PDF.png,0.8767
1614-Sea Hull L0046 Corp-DOC.png 1614-Sea Hull L0046 Corp-PDF.png,0.8767
1622-Style Shipping-DOC.png 1622-Style Shipping-PDF.png,0.8725
1626-Sky Shipping-DOC.png 1626-Sky Shipping-PDF.png,0.8727
1627-Stone Shipping-DOC.png 1627-Stone Shipping-PDF.png,0.8726
1628-Default-DOC.png 1628-Default-PDF.png,0.8793
1630-Default-DOC.png 1630-Default-PDF.png,0.8678
1632-Golden Adventure-DOC.png 1632-Golden Adventure-PDF.png,0.8837
1634-Golden Avenue-DOC.png 1634-Golden Avenue-PDF.png,0.8830
1635-GSW Fabulous-DOC.png 1635-GSW Fabulous-PDF.png,0.8801
1636-GSW F-Class-DOC.png 1636-GSW F-Class-PDF.png,0.8826
1637-GSW Fighter-DOC.png 1637-GSW Fighter-PDF.png,0.8844
1638-GSW Forward-DOC.png 1638-GSW Forward-PDF.png,0.8820
1639-GSW Frontier-DOC.png 1639-GSW Frontier-PDF.png,0.8848
